SD-JWT,CSD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
9030,620,9206,2504,480,13555,2247,3623784
10050,2387,11888,2543,2099,12811,2682,3277635
11099,4183,14598,3034,3739,12102,3172,2931450
12147,5978,17324,3098,5379,11384,3643,2585455
13196,7774,20038,3988,7019,10670,4124,2239260
14246,9570,22754,4258,8659,9962,4602,1893111
15294,11364,25440,4526,10299,9247,5084,1546940
16343,13160,28158,5247,11939,8540,5578,1200796
17392,14956,30828,5935,13579,7838,6044,854686
18440,16751,33510,5994,15219,7114,6528,508538
